Processor,CPU.Mark.Single,Price
Intel Xeon E5-1607 v3 @ 3.10GHz,1758,
Intel Xeon E5-2685 v3 @ 2.60GHz,1758,
Intel Celeron G3920 @ 2.90GHz,1757,45.29
Intel Core i3-2130 @ 3.40GHz,1757,109.5
Intel Core i7-4712HQ @ 2.30GHz,1757,
Intel Xeon E5-2699 v4 @ 2.20GHz,1756,8010
Intel Core i5-3340 @ 3.10GHz,1754,205.99
Intel Pentium G4600T @ 3.00GHz,1750,96.96
Intel Core i3-4150T @ 3.00GHz,1750,229.95
Intel Xeon E5-2630 v3 @ 2.40GHz,1749,668.94
AMD PRO A10-9700,1749,169
Intel Core i5-3350P @ 3.10GHz,1748,225.99
Intel Core i5-6267U @ 2.90GHz,1748,
Intel Core i5-2400 @ 3.10GHz,1746,88
Intel Xeon E3-1240L v3 @ 2.00GHz,1746,
Intel Celeron G3950 @ 3.00GHz,1745,71.22
Intel Core i7-4750HQ @ 2.00GHz,1745,
Intel Core i3-4330T @ 3.00GHz,1743,
Intel Pentium G3220 @ 3.00GHz,1742,102.6
Intel Xeon E3-1225 @ 3.10GHz,1742,247.02
Intel Core i3-7100H @ 3.00GHz,1742,225
AMD Ryzen 3 1200,1736,92.99
AMD A10-8850,1736,
Intel Xeon E3-1220L @ 2.20GHz,1736,
Intel Core i5-7200U @ 2.50GHz,1735,
AMD Ryzen 5 PRO 1600,1735,
AMD PRO A10-8850B,1735,
AMD Ryzen 3 2200U,1734,
Intel Core i5-4278U @ 2.60GHz,1734,
AMD Athlon X4 950,1733,61.56
Intel Core i7-4712MQ @ 2.30GHz,1733,
Intel Xeon E5-4660 v3 @ 2.10GHz,1728,4800
Intel Core i5-2390T @ 2.70GHz,1727,99.9
Intel Core i5-4210M @ 2.60GHz,1726,309.95
AMD FX-9590 Eight-Core,1726,119.99
Intel Xeon E5-1410 v2 @ 2.80GHz,1725,
AMD Ryzen 5 1400,1725,139.98
Intel Pentium G4500T @ 3.00GHz,1725,
Intel Core i5-3570T @ 2.30GHz,1725,
Intel Core i7-3615QE @ 2.30GHz,1725,
AMD A10-9700,1723,88.1
Intel Xeon Gold 5120T @ 2.20GHz,1723,1727
Intel Xeon E5-2696 v2 @ 2.50GHz,1723,
Intel Xeon E5-2676 v3 @ 2.40GHz,1721,
AMD Ryzen 7 2700U,1721,
Intel Xeon E5-2678 v3 @ 2.50GHz,1717,
Intel Core i7-6560U @ 2.20GHz,1717,
Intel Core i7-4702HQ @ 2.20GHz,1716,
AMD PRO A6-8550B,1715,
Intel Pentium G2130 @ 3.20GHz,1715,79.99
AMD A10-7890K,1714,183.2
Intel Core i7-4650U @ 1.70GHz,1714,
Intel Xeon E3-1220 @ 3.10GHz,1713,509.95
Intel Core i3-3210 @ 3.20GHz,1713,110
Intel Pentium G3260T @ 2.90GHz,1712,99.99
Intel Core i5-3340S @ 2.80GHz,1711,320
Intel Core i3-2125 @ 3.30GHz,1708,169
Intel Core i5-5257U @ 2.70GHz,1707,
Intel Core i5-6500T @ 2.50GHz,1706,
Intel Xeon E5-2697 v2 @ 2.70GHz,1705,2235.02
AMD A6-8550,1704,
Intel Core i7-4558U @ 2.80GHz,1704,
Intel Core i7-4702MQ @ 2.20GHz,1703,
Intel Core i7-5550U @ 2.00GHz,1701,
Intel Xeon E5-2670 v3 @ 2.30GHz,1699,1450
Intel Core i5-3330 @ 3.00GHz,1699,359.95
Intel Core i5-3340M @ 2.70GHz,1699,79.95
Intel Core i7-4600U @ 2.10GHz,1698,
Intel Xeon Silver 4112 @ 2.60GHz,1697,529.21
AMD PRO A4-8350B,1696,
Intel Core i5-4590T @ 2.00GHz,1694,
Intel Core i5-2320 @ 3.00GHz,1694,159.86
Intel Xeon E5-2673 v3 @ 2.40GHz,1693,700
Intel Core i7-4765T @ 2.00GHz,1693,269.99
Intel Xeon E5-2650 v3 @ 2.30GHz,1692,970
Intel Core i3-2120 @ 3.30GHz,1692,56.99
Intel Xeon E5-2682 v4 @ 2.50GHz,1690,
AMD PRO A12-8870E,1689,
Intel Xeon E5-2696 v4 @ 2.20GHz,1688,3009.95
Intel Core i5-7400T @ 2.40GHz,1686,159
Intel Xeon E5-2620 v3 @ 2.40GHz,1686,710.54
Intel Core i7-3630QM @ 2.40GHz,1685,235.9
Intel Xeon E5-2630L v3 @ 1.80GHz,1684,751.92
Intel Core i7-6498DU @ 2.50GHz,1683,
Intel Xeon E5-2658 v3 @ 2.20GHz,1682,
Intel Xeon E3-1220L V2 @ 2.30GHz,1682,
Intel Celeron G4900T @ 2.90GHz,1681,
Intel Xeon Silver 4116 @ 2.10GHz,1679,1121.16
Intel Pentium G4560T @ 2.90GHz,1677,74.52
Intel Core i5-3335S @ 2.70GHz,1676,
Intel Core i5-6300HQ @ 2.30GHz,1676,
Intel Core i7-2960XM @ 2.70GHz,1675,409.95
Intel Celeron G1850 @ 2.90GHz,1674,80
Intel Core i3-4130T @ 2.90GHz,1671,88.99
Intel Core i7-5650U @ 2.20GHz,1669,
Intel Celeron G3930 @ 2.90GHz,1668,
AMD Athlon X4 880K,1667,153.89
Intel Core i7-2920XM @ 2.50GHz,1666,608.95
Intel Core i5-2380P @ 3.10GHz,1666,180
Intel Pentium G4400T @ 2.90GHz,1663,
AMD PRO A10-8750B,1662,
Intel Xeon E5-2650 v2 @ 2.60GHz,1661,541.59
Intel Pentium G3440T @ 2.80GHz,1660,
Intel Xeon E5-2683 v3 @ 2.00GHz,1660,1984.99
Intel Xeon E5-1410 @ 2.80GHz,1659,
Intel Core i7-2840QM @ 2.40GHz,1658,
Intel Core i7-5600U @ 2.60GHz,1658,
Intel Core i3-2102 @ 3.10GHz,1657,58
Intel Xeon E5-2680 @ 2.70GHz,1657,189.64
Intel Core i7-995X @ 3.60GHz,1655,
AMD A6-7470K,1655,55.75
Intel Core i5-3330S @ 2.70GHz,1653,224.59
Intel Xeon Silver 4114 @ 2.20GHz,1652,744.73
Intel Core i7-2860QM @ 2.50GHz,1651,599.99
AMD PRO A10-8770E,1648,
Intel Core i7-6500U @ 2.50GHz,1646,
Intel Core i5-4200M @ 2.50GHz,1646,179.99
Intel Pentium G2120 @ 3.10GHz,1646,86.05
Intel Pentium G3250T @ 2.80GHz,1646,45.99
AMD PRO A6-7350B,1645,
Intel Core i7-3555LE @ 2.50GHz,1643,
Intel Core i7-4510U @ 2.00GHz,1643,
Intel Core i5-4258U @ 2.40GHz,1642,
Intel Xeon E3-1260L @ 2.40GHz,1642,364.22
Intel Core i5-3320M @ 2.60GHz,1642,122.74
Intel Core i7-3615QM @ 2.30GHz,1641,
Intel Core i7-3687U @ 2.10GHz,1639,
Intel Core i5-3610ME @ 2.70GHz,1639,
Intel Core i7-3610QM @ 2.30GHz,1638,399.99
Intel Celeron G1840 @ 2.80GHz,1635,76.5
Intel Xeon E3-1505L v5 @ 2.00GHz,1631,
Intel Xeon E5-2630 v4 @ 2.20GHz,1631,708.5
Intel Core i5-6300U @ 2.40GHz,1629,
Intel Xeon E5-2695 v4 @ 2.10GHz,1628,2483.99
AMD A10-6800B APU,1628,
AMD PRO A10-9700E,1627,139
AMD A10-8750,1627,
AMD A6 PRO-7400B,1626,
Intel Core i3-3250T @ 3.00GHz,1626,
AMD A12-9730P,1625,
Intel Core i5-2310 @ 2.90GHz,1625,65
AMD A12-9800E,1623,117.55
Intel Celeron G3900 @ 2.80GHz,1623,37.1
AMD PRO A12-9800E,1623,169
Intel Xeon E5-1603 v4 @ 2.80GHz,1621,
AMD PRO A8-9600,1618,119
AMD FX-9370 Eight-Core,1617,245.19
Intel Xeon E5-1607 v2 @ 3.00GHz,1617,313
Intel Xeon E5-2660 v4 @ 2.00GHz,1616,1489.97
Intel Core i7-4770TE @ 2.30GHz,1614,
Intel Xeon E5-2670 v2 @ 2.50GHz,1613,492.77
Intel Core i5-4308U @ 2.80GHz,1611,
AMD A8-8650,1611,
Intel Xeon E3-1235L v5 @ 2.00GHz,1611,
AMD FX-9830P,1610,
AMD A10 PRO-7800B APU,1609,
AMD A9-9430,1608,
Intel Core i5-2400S @ 2.50GHz,1608,65
Intel Xeon E5-2667 @ 2.90GHz,1608,178.99
Intel Core i5-2405S @ 2.50GHz,1608,164.4
Intel Pentium G2030 @ 3.00GHz,1607,40.99
AMD PRO A8-8650B,1607,
Intel Pentium G3420T @ 2.70GHz,1606,105.25
Intel Xeon E5-2692 v2 @ 2.20GHz,1606,
AMD Opteron X3421 APU,1604,
Intel Pentium G870 @ 3.10GHz,1604,97
Intel Xeon E5-2623 v4 @ 2.60GHz,1601,549
AMD Athlon X4 860K,1601,72.97
AMD PRO A6-9500E,1600,74
Intel Core i5-2500T @ 2.30GHz,1597,
Intel Xeon E5-2630L v4 @ 1.80GHz,1596,
Intel Core i5-6260U @ 1.80GHz,1595,518.99
Intel Core i7-2640M @ 2.80GHz,1595,200.78
Intel Xeon E5-2618L v4 @ 2.20GHz,1591,779
AMD PRO A6-8570E,1590,
Intel Core i7-2760QM @ 2.40GHz,1589,139.95
Intel Xeon E3-1230L v3 @ 1.80GHz,1588,287.9
Intel Xeon E5-2658 v2 @ 2.40GHz,1587,
Intel Core i3-2100 @ 3.10GHz,1585,30
Intel Xeon E5-2698 v4 @ 2.20GHz,1584,3226
AMD PRO A12-8830B,1583,
Intel Core i3-2105 @ 3.10GHz,1581,118
Intel Core i7-4610Y @ 1.70GHz,1581,
Intel Celeron G1820 @ 2.70GHz,1581,149.99
AMD A10 PRO-7850B APU,1581,
AMD A6-6420B APU,1580,
Intel Core i5-4310U @ 2.00GHz,1579,
Intel Xeon E5-1607 @ 3.00GHz,1578,27.5
Intel Core i5-3230M @ 2.60GHz,1578,249.65
Intel Xeon E5-2670 @ 2.60GHz,1578,265.32
AMD A6-7400K APU,1578,45.99
AMD Athlon X4 870K,1577,74.01
Intel Core i5-2300 @ 2.80GHz,1577,99.99
Intel Xeon X5687 @ 3.60GHz,1576,93.95
AMD A8-9600,1575,67.51
AMD A10-7860K,1575,319
Intel Pentium G3240T @ 2.70GHz,1575,
Intel Core i5-4300U @ 1.90GHz,1574,
Intel Xeon @ 2.20GHz,1573,
Intel Core i7-3667U @ 2.00GHz,1573,
AMD A10-7850K APU,1572,398.98
AMD EPYC 7501,1570,3649.99
Intel Celeron G1830 @ 2.80GHz,1566,70.99
AMD A10-9700E,1565,96.17
Intel Core i5-2540M @ 2.60GHz,1565,69.95
Intel Xeon E5-2650 v4 @ 2.20GHz,1565,1169.99
Intel Core i7-3632QM @ 2.20GHz,1564,335
AMD PRO A12-9800B,1564,
Intel Core i7-4500U @ 1.80GHz,1564,
AMD A10-7870K,1563,117.44
Intel Core i7-2620M @ 2.70GHz,1563,179.21
Intel Core i3-6100TE @ 2.70GHz,1563,
Intel Xeon E5-2649 v3 @ 2.30GHz,1561,
Intel Xeon E5-2630 v2 @ 2.60GHz,1558,418.48
Intel Xeon W3690 @ 3.47GHz,1558,2260.61
Intel Core i3-6100H @ 2.70GHz,1557,
Intel Xeon E5-2695 v2 @ 2.40GHz,1552,1774.85
Intel Core i5-4402E @ 1.60GHz,1552,
Intel Core i3-7130U @ 2.70GHz,1552,281
Intel Core i7-2820QM @ 2.30GHz,1551,359.95
Intel Core i3-4110M @ 2.60GHz,1551,
Intel Pentium G860 @ 3.00GHz,1549,29.99
AMD EPYC 7351P,1548,768.43
AMD A9-9410,1548,
Intel Core i7-5500U @ 2.40GHz,1546,
Intel Core i5-2510E @ 2.50GHz,1546,
Intel Core i3-2140 @ 3.50GHz,1545,
Intel Core i7-985 @ 3.47GHz,1545,
AMD A8-7600 APU,1544,167
Intel Pentium G2020 @ 2.90GHz,1544,59.95
AMD EPYC 7401P,1543,1149.99
AMD Athlon X4 840,1542,78.74
Intel Xeon D-1567 @ 2.10GHz,1541,
Intel Core i7-4550U @ 1.50GHz,1541,
Intel Core i5-680 @ 3.60GHz,1540,272.01
Intel Xeon E5-2620 v4 @ 2.10GHz,1538,451.02
AMD FX-870K Quad Core,1537,
AMD A10-7800 APU,1537,104.99
AMD Embedded R-Series RX-418GD Radeon R6,1537,
Intel Core i5-6198DU @ 2.30GHz,1536,
AMD A10-6800K APU,1536,287.91
Intel Xeon E5-1603 v3 @ 2.80GHz,1534,
AMD FX-4350 Quad-Core,1534,122.88
AMD FX-8370 Eight-Core,1534,163.78
Intel Xeon E5-2686 v3 @ 2.00GHz,1531,
AMD A8-7670K,1529,161.5
Pentium Dual-Core E6000 @ 3.46GHz,1527,
Intel Core i5-5300U @ 2.30GHz,1526,495.14
Intel Xeon X5677 @ 3.47GHz,1524,350
Intel Core i5-4350U @ 1.40GHz,1522,
Intel Xeon E5-2683 v4 @ 2.10GHz,1522,1899.99
Intel Core i7-3612QM @ 2.10GHz,1522,
Intel Core i5-3210M @ 2.50GHz,1522,120.29
Intel Core i7-3635QM @ 2.40GHz,1521,
AMD A10-6700 APU,1521,507.68
Intel Core i5-4260U @ 1.40GHz,1520,
Intel Xeon Silver 4110 @ 2.10GHz,1519,539.99
Intel Xeon W3680 @ 3.33GHz,1519,459.95
AMD FX-670K Quad-Core,1517,
Intel Core i5-6400T @ 2.20GHz,1516,169
Intel Core i3-3240T @ 2.90GHz,1516,
Intel Core i7-3537U @ 2.00GHz,1515,
Intel Core i3-6100E @ 2.70GHz,1514,
Intel Xeon D-1531 @ 2.20GHz,1513,348
Intel Core i7-990X @ 3.47GHz,1511,509
AMD FX-7600P APU,1511,
Intel Core i5-4460T @ 1.90GHz,1509,
AMD FX-8350 Eight-Core,1509,108.89
Intel Xeon X5690 @ 3.47GHz,1508,169.64
Intel Celeron G3900T @ 2.60GHz,1506,
Intel Xeon E5-4640 v3 @ 1.90GHz,1506,
AMD Embedded R-Series RX-421BD,1506,
AMD A10-5800B APU,1505,
AMD PRO A10-9700B,1504,
Intel Xeon E5-2665 @ 2.40GHz,1504,141.5
AMD EPYC 7551,1502,3699.99
Intel Xeon E5-2660 v2 @ 2.20GHz,1502,527.5
AMD FX-6330 Six-Core,1502,
Intel Pentium G850 @ 2.90GHz,1500,34.9
AMD A10-7700K APU,1499,100
Intel Core i5-6200U @ 2.30GHz,1499,
Intel Xeon E5-4650 @ 2.70GHz,1498,491.8
Intel Xeon E5-4617 @ 2.90GHz,1497,89.9
Intel Core i3-3220T @ 2.80GHz,1496,165.5
Intel Pentium G2010 @ 2.80GHz,1496,35.99
Intel Core i5-2520M @ 2.50GHz,1495,169.6
Intel Xeon X5679 @ 3.20GHz,1494,
AMD FX-770K Quad-Core,1494,
Intel Pentium D1508 @ 2.20GHz,1493,129
Intel Xeon W3580 @ 3.33GHz,1490,214.5
AMD FX-4320,1488,
AMD EPYC 7251 8-Core,1487,519.42
Intel Pentium G645 @ 2.90GHz,1485,95
AMD A8-6500B APU,1484,
AMD A10-6790K APU,1483,206.82
AMD FX-6350 Six-Core,1481,128.34
Intel Celeron G1630 @ 2.80GHz,1480,69.99
Intel Xeon E5-2628L v3 @ 2.00GHz,1479,
Intel Xeon E3-1265L @ 2.40GHz,1478,918.35
AMD FX-4330,1473,
Intel Xeon E5-2630L v2 @ 2.40GHz,1470,
Intel Xeon E5-1603 @ 2.80GHz,1470,164.99
AMD A6-6420K APU,1466,71
Intel Xeon W3570 @ 3.20GHz,1464,479.95
Intel Core i7-7Y75 @ 1.30GHz,1464,
AMD Athlon X4 750 Quad Core,1462,
Intel Xeon E5-2640 @ 2.50GHz,1462,107.29
AMD Athlon X2 370K Dual Core,1461,
AMD A8-6600K APU,1461,189.04
Intel Xeon E5-2648L v3 @ 1.80GHz,1460,1335.98
Intel Pentium G840 @ 2.80GHz,1459,59.99
AMD A10-5800K APU,1459,125.99
Intel Core i7-975 @ 3.33GHz,1459,656.01
Intel Core i7-2720QM @ 2.20GHz,1459,169.97
Intel Pentium G3220T @ 2.60GHz,1459,39.99
Intel Core i5-4250U @ 1.30GHz,1456,354.99
AMD A8-7650K,1455,78.99
Intel Core i7-980X @ 3.33GHz,1455,799.99
Intel Core i7-980 @ 3.33GHz,1454,699.99
AMD A8 PRO-7600B APU,1454,
Intel Core i7-3612QE @ 2.10GHz,1453,
Intel Xeon E5-2440 @ 2.40GHz,1450,745
AMD A4 PRO-7300B APU,1446,
Intel Celeron G1620 @ 2.70GHz,1445,153.59
Intel Celeron G1840T @ 2.50GHz,1444,
Intel Xeon X5492 @ 3.40GHz,1443,1391.29
Intel Core i5-4570TE @ 2.70GHz,1443,268.42
Intel Pentium G2100T @ 2.60GHz,1442,
Intel Xeon D-1521 @ 2.40GHz,1441,
AMD RX-427BB,1441,
Intel Core i5-655K @ 3.20GHz,1441,
AMD FX-8800P,1441,
Intel Xeon W5590 @ 3.33GHz,1441,269.99
AMD Athlon X4 760K Quad Core,1441,46.5
Intel Core i5-3437U @ 1.90GHz,1440,
Intel Pentium G640 @ 2.80GHz,1440,24.99
AMD A8-6500 APU,1439,160.99
AMD A10-9630P,1438,
Intel Core i5-4210U @ 1.70GHz,1437,
AMD PRO A12-8800B,1436,
Intel Xeon X5680 @ 3.33GHz,1436,145.69
AMD FirePro A320 APU,1432,
Intel Core i5-5250U @ 1.60GHz,1431,441.89
AMD PRO A6-8530B,1428,
AMD A4-6320 APU,1427,104.09
AMD PRO A8-9600B,1423,
Intel Xeon E5-4640 @ 2.40GHz,1423,2730
AMD FX-8370E Eight-Core,1421,242.4
Intel Xeon D-1541 @ 2.10GHz,1421,
Intel Xeon E5-2658 v4 @ 2.30GHz,1416,
Intel Xeon X5260 @ 3.33GHz,1415,139.24
Intel Xeon W3565 @ 3.20GHz,1414,69.95
Intel Xeon E5-2660 @ 2.20GHz,1412,109
Intel Core i7-3517U @ 1.90GHz,1412,
AMD FX-4300 Quad-Core,1410,72.99
Intel Xeon E5-2650L v4 @ 1.70GHz,1410,1496
AMD A9-9420,1410,
Intel Xeon W5580 @ 3.20GHz,1410,88.88
Intel Core i5-3427U @ 1.80GHz,1410,420.05
AMD FX-6300 Six-Core,1408,77.5
AMD PRO A10-8730B,1408,
AMD A12-9720P,1408,
Intel Xeon E5-2650L v3 @ 1.80GHz,1408,1010
Intel Xeon W3670 @ 3.20GHz,1405,295
Intel Celeron G3900E @ 2.40GHz,1404,
Intel Core i5-5200U @ 2.20GHz,1404,
AMD FX-8300 Eight-Core,1404,106.99
AMD A6-6400K APU,1403,48.58
Intel Xeon X5675 @ 3.07GHz,1402,239
AMD FX-4170 Quad-Core,1401,143.61
Intel Core i5-670 @ 3.47GHz,1401,252.01
AMD FX-8310 Eight-Core,1401,
Intel Core i5-2450M @ 2.50GHz,1400,130
Intel Core i5-2560M @ 2.70GHz,1398,
AMD FX-8320 Eight-Core,1398,94.99
AMD A4-6300B APU,1398,100
Intel Core i7-2670QM @ 2.20GHz,1397,134.79
Intel Celeron G1610 @ 2.60GHz,1397,24.99
Intel Core i7-970 @ 3.20GHz,1394,550
AMD FX-9800P,1394,
AMD Opteron X3216 APU,1394,
Intel Xeon X5470 @ 3.33GHz,1392,293.87
Intel Pentium 1403 @ 2.60GHz,1392,
Intel Core i3-5157U @ 2.50GHz,1391,
Intel Core2 Extreme X9775 @ 3.20GHz,1391,1805.95
AMD A4-7300 APU,1390,44.59
Intel Core i7-960 @ 3.20GHz,1390,295
Intel Celeron G1820T @ 2.40GHz,1389,42
Intel Xeon X5672 @ 3.20GHz,1387,115.12
AMD A6-6400B APU,1387,
AMD A4 PRO-7350B,1386,
Intel Core i5-660 @ 3.33GHz,1386,143.95
Intel Core i7-965 @ 3.20GHz,1385,359
Intel Core i7-2710QE @ 2.10GHz,1385,
AMD PRO A6-9500B,1384,
Intel Celeron G555 @ 2.70GHz,1383,50
Intel Pentium G630 @ 2.70GHz,1381,24.99
Intel Core m7-6Y75 @ 1.20GHz,1381,
Intel Core i5-4200U @ 1.60GHz,1379,
Intel Xeon E5-2630 @ 2.30GHz,1379,160.02
AMD A8-5600K APU,1378,229.3
Intel Core i7-610E @ 2.53GHz,1378,
Intel Pentium G2030T @ 2.60GHz,1377,64
Intel Core i5-7Y57 @ 1.20GHz,1376,
AMD Embedded R-Series RX-216GD,1376,
Intel Xeon X5270 @ 3.50GHz,1375,
Intel Core i7-3610QE @ 2.30GHz,1375,
Intel Core2 Duo E8600 @ 3.33GHz,1374,22.99
AMD A10-9620P,1373,
Intel Core i5-2415M @ 2.30GHz,1373,
AMD PRO A6-8500B,1371,
Intel Core i3-4100M @ 2.50GHz,1370,218.57
Intel Core i7-6822EQ @ 2.00GHz,1370,
Intel Core2 Extreme X9770 @ 3.20GHz,1369,1608.95
Intel Xeon Silver 4109T @ 2.00GHz,1369,501
Intel Core i3-560 @ 3.33GHz,1368,179.95
AMD Athlon X4 750K Quad Core,1368,76.99
Intel Core i5-7Y54 @ 1.20GHz,1367,
Intel Xeon X3480 @ 3.07GHz,1367,
Intel Xeon E5-4650L @ 2.60GHz,1367,8684.5
Intel Core i3-4330TE @ 2.40GHz,1366,
Intel Xeon X5482 @ 3.20GHz,1365,99.99
Intel Core i3-3130M @ 2.60GHz,1365,
AMD FX-8320E Eight-Core,1364,116.99
Intel Core i5-2430M @ 2.40GHz,1364,199.95
AMD FX-B4150 Quad-Core,1362,
AMD FX-4150 Quad-Core,1361,
AMD Athlon X4 830,1361,
AMD A10-5700 APU,1359,514.7
Intel Core i3-6157U @ 2.40GHz,1358,
Intel Core i3-7100U @ 2.40GHz,1357,
Intel Xeon X5570 @ 2.93GHz,1357,47.24
Intel Core i7-2655LE @ 2.20GHz,1356,
Intel Xeon E5-2648L v4 @ 1.80GHz,1356,
AMD A4-6300 APU,1356,44.97
Intel Xeon W3550 @ 3.07GHz,1356,235
Intel Core i7-880 @ 3.07GHz,1353,583
Intel Xeon X3380 @ 3.16GHz,1352,
Intel Pentium E6800 @ 3.33GHz,1351,831.38
Intel Pentium G3320TE @ 2.30GHz,1350,
Intel Xeon E5-2420 v2 @ 2.20GHz,1348,559.95
Intel Xeon X5670 @ 2.93GHz,1346,73.49
Intel Core i7-870S @ 2.67GHz,1344,
Intel Xeon D-1540 @ 2.00GHz,1344,
Intel Pentium 3560M @ 2.40GHz,1342,
AMD A9-9400,1340,
Intel Core2 Extreme X9750 @ 3.16GHz,1339,
Intel Xeon E3120 @ 3.16GHz,1338,
Intel Pentium G2020T @ 2.50GHz,1337,47.6
Intel Core i7-860S @ 2.53GHz,1337,422.01
Intel Xeon X5460 @ 3.16GHz,1336,60.07
Intel Xeon X5272 @ 3.40GHz,1335,140
AMD FX-8150 Eight-Core,1334,214.99
Intel Celeron G550 @ 2.60GHz,1333,19.99
Intel Core i5-24050S @ 2.50GHz,1333,
AMD A6-5400B APU,1332,105.04
Intel Core i5-2435M @ 2.40GHz,1332,
Intel Core i3-4000M @ 2.40GHz,1331,199.95
Intel Core i5-661 @ 3.33GHz,1328,252.01
Intel Pentium G620 @ 2.60GHz,1326,24.99
Intel Core i5-2410M @ 2.30GHz,1326,72
Intel Core i7-950 @ 3.07GHz,1326,300
Intel Core m5-6Y54 @ 1.10GHz,1324,
Intel Core i5-650 @ 3.20GHz,1321,125.2
Intel Core i5-2515E @ 2.50GHz,1321,
AMD A6-9230,1320,
AMD A12-9700P,1319,
Intel Xeon X5647 @ 2.93GHz,1318,199.75
Intel Celeron 2000E @ 2.20GHz,1318,
Intel Xeon E5-2628L v4 @ 1.90GHz,1317,1364
Intel Pentium 4415U @ 2.30GHz,1317,
Intel Core2 Duo E8500 @ 3.16GHz,1316,19.99
Intel Core i3-2120T @ 2.60GHz,1316,113
